Time :0
Waiting clients: { ID: 1; Arrival time: 2; Service time: 3 }

Waiting clients: { ID: 2; Arrival time: 2; Service time: 7 }

Waiting clients: { ID: 17; Arrival time: 2; Service time: 4 }

Waiting clients: { ID: 33; Arrival time: 2; Service time: 5 }

Waiting clients: { ID: 44; Arrival time: 5; Service time: 6 }

Waiting clients: { ID: 48; Arrival time: 5; Service time: 7 }

Waiting clients: { ID: 15; Arrival time: 6; Service time: 7 }

Waiting clients: { ID: 10; Arrival time: 9; Service time: 4 }

Waiting clients: { ID: 38; Arrival time: 9; Service time: 6 }

Waiting clients: { ID: 45; Arrival time: 9; Service time: 6 }

Waiting clients: { ID: 21; Arrival time: 10; Service time: 8 }

Waiting clients: { ID: 20; Arrival time: 11; Service time: 3 }

Waiting clients: { ID: 8; Arrival time: 12; Service time: 4 }

Waiting clients: { ID: 25; Arrival time: 12; Service time: 5 }

Waiting clients: { ID: 47; Arrival time: 12; Service time: 6 }

Waiting clients: { ID: 36; Arrival time: 15; Service time: 7 }

Waiting clients: { ID: 18; Arrival time: 16; Service time: 6 }

Waiting clients: { ID: 24; Arrival time: 17; Service time: 6 }

Waiting clients: { ID: 9; Arrival time: 19; Service time: 4 }

Waiting clients: { ID: 11; Arrival time: 20; Service time: 8 }

Waiting clients: { ID: 39; Arrival time: 21; Service time: 5 }

Waiting clients: { ID: 35; Arrival time: 23; Service time: 4 }

Waiting clients: { ID: 22; Arrival time: 24; Service time: 4 }

Waiting clients: { ID: 27; Arrival time: 25; Service time: 5 }

Waiting clients: { ID: 23; Arrival time: 26; Service time: 6 }

Waiting clients: { ID: 26; Arrival time: 26; Service time: 8 }

Waiting clients: { ID: 32; Arrival time: 26; Service time: 6 }

Waiting clients: { ID: 28; Arrival time: 27; Service time: 4 }

Waiting clients: { ID: 43; Arrival time: 29; Service time: 4 }

Waiting clients: { ID: 3; Arrival time: 31; Service time: 3 }

Waiting clients: { ID: 5; Arrival time: 31; Service time: 7 }

Waiting clients: { ID: 46; Arrival time: 31; Service time: 8 }

Waiting clients: { ID: 6; Arrival time: 32; Service time: 6 }

Waiting clients: { ID: 50; Arrival time: 32; Service time: 8 }

Waiting clients: { ID: 7; Arrival time: 33; Service time: 8 }

Waiting clients: { ID: 30; Arrival time: 33; Service time: 6 }

Waiting clients: { ID: 40; Arrival time: 33; Service time: 8 }

Waiting clients: { ID: 42; Arrival time: 33; Service time: 8 }

Waiting clients: { ID: 12; Arrival time: 34; Service time: 6 }

Waiting clients: { ID: 14; Arrival time: 34; Service time: 7 }

Waiting clients: { ID: 29; Arrival time: 34; Service time: 5 }

Waiting clients: { ID: 31; Arrival time: 34; Service time: 7 }

